"","GEOID","h_county","commuters"
"1013",51059470600,24027,1
"1014",11001010100,24029,1
"1015",24003701104,24029,6
"1016",24003702402,24029,26
"1017",24003740205,24029,2
"1018",24003740304,24029,2
"1019",24003741000,24029,3
"1020",24005408704,24029,2
"1021",24005440600,24029,6
"1022",24013507602,24029,5
"1023",24013513001,24029,1
"1024",24021750701,24029,1
"1025",24021752206,24029,1
"1026",24025301707,24029,1
"1027",24027605105,24029,5
"1028",24027605404,24029,8
"1029",24027605602,24029,2
"1030",24027606701,24029,1
"1031",24027606706,24029,4
"1032",24031700313,24029,5
"1033",24031701007,24029,6
"1034",24031701205,24029,7
"1035",24031702503,24029,4
"1036",24031704600,24029,1
"1037",24031704804,24029,6
"1038",24033800212,24029,1
"1039",24033801003,24029,1
"1040",24035810800,24029,67
"1041",24510060400,24029,3
"1042",24510120700,24029,2
"1043",24510260501,24029,7
"1044",24510260605,24029,9
"1045",11001000904,24031,756
"1046",11001010100,24031,7045
"1047",24003701104,24031,83
"1048",24003702402,24031,898
"1049",24003730401,24031,26
"1050",24003740205,24031,37
"1051",24003740304,24031,169
"1052",24003741000,24031,89
"1053",24005408704,24031,61
"1054",24005421000,24031,1
"1055",24005440600,24031,432
"1056",24013507602,24031,286
"1057",24013513001,24031,303
"1058",24017851502,24031,46
"1059",24021750701,24031,293
"1060",24021752206,24031,352
"1061",24025301707,24031,88
