"GEOID","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","terminated_econ_loss"
"3903",64609629.2,165400650.752,713.125482818271,344763728,882595143.68,0,0,0,0,0,0,30088341.1968
"3904",18957,48529.92,0.209236919406217,714159,1828247.04,0,0,0,0,0,0,NA
"3905",94500,241920,1.04303892408543,497000,1272320,0,0,0,0,0,0,NA
"3907",453833.45,1161813.632,5.00916352806327,2940280,7527116.8,0,0,0,0,0,0,NA
"3908",806872.45,2065593.472,8.90581346161032,4780050,12236928,0,0,0,0,0,0,NA
"3909",2690887.9,6888673.024,29.7005377783122,14952865,38279334.4,0,0,0,0,0,0,1065244.8
"3910",1310813.5,3355682.56,14.4680370657847,8957812,22931998.72,0,0,0,0,0,0,NA
"3911",68004004.85,174090252.416,750.590730711581,329595169,843763632.64,0,0,0,0,0,0,10452555.9808
"3912",673255.55,1723534.208,7.43102375139201,14356080,36751564.8,0,0,0,0,0,0,NA
"3913",211930.5,542542.08,2.33917207090886,4632554,11859338.24,0,0,0,0,0,0,NA
"3914",2640717.1,6760235.776,29.1467801354285,11309871,28953269.76,0,0,0,0,0,0,1074470.4
"3915",144111.05,368924.288,1.59061835492933,2433387,6229470.72,0,0,0,0,0,0,NA
"4001",3369341.8,8625515.008,37.1889380523605,15298206,39163407.36,0,0,0,0,0,0,3780651.8528
"4002",0,0,0,1485682,3803345.92,0,0,0,0,0,0,3053924.1472
"4003",1695793.75,4341232,18.7172369150349,12027788,30791137.28,0,0,0,0,0,0,807674.5984
"4004",1658455.6,4245646.336,18.30511899119,12355480,31630028.8,0,0,0,0,0,0,2944588.8
"4005",19613835.35,50211418.496,216.486706038654,115259043,295063150.08,0,0,0,0,0,0,5422374.73589451
"4101",47813115.25,122401575.04,527.734817857489,320854938,821388641.28,0,0,0,0,0,0,8572042.496
"4103",802272.1,2053816.576,8.85503733341544,4423002,11322885.12,0,0,0,0,0,0,NA
"4104",11580476.65,29646020.224,127.818919633994,78940447,202087544.32,0,0,0,0,0,0,4351264.8192
"4105",346972.15,888248.704,3.82968738649321,3514033,8995924.48,0,0,0,0,0,0,NA
"4106",2476.7,6340.35200000001,0.027336449770184,379242,970859.52,0,0,0,0,0,0,NA
"4201",2243555.2,5743501.312,24.7631259463944,18705695,47886579.2,0,0,0,0,0,0,NA
"4202",36262671.15,92832438.144,400.247380960421,171697982,439546833.92,0,0,0,0,0,0,8406299.05751209
"4203",194121792.7,496951789.312,2142.60937353802,1064447869,2724986544.64,0,0,0,0,0,0,63985007.2530999
"4204",137972.55,353209.728,1.52286497465951,1595700,4084992,0,0,0,0,0,0,NA
"4205",803995.2,2058227.712,8.87405596167038,6410123,16409914.88,0,0,0,0,0,0,NA
"4206",1598727.6,4092742.656,17.6458742413723,10160267,26010283.52,0,0,0,0,0,0,NA
"4207",1471503.05,3767047.808,16.2416397678352,7545180,19315660.8,0,0,0,0,0,0,NA
"4209",1850935.4,4738394.624,20.4296049541549,9545081,24435407.36,0,0,0,0,0,0,NA
"4210",17625459.35,45121175.936,194.540107480799,78623740,201276774.4,0,0,0,0,0,0,12156170.5984
"4211",353248.55,904316.288,3.89896283097078,3428128,8776007.68,0,0,0,0,0,0,NA
"4212",126794884.2,324594903.552,1399.49205921169,754813029,1932321354.24,0,0,0,0,0,0,40613221.5808
"4213",15902.15,40709.504,0.175519168535927,1135569,2907056.64,0,0,0,0,0,0,NA
"4215",18855287.5,48269536,208.114272881709,100006869,256017584.64,0,0,0,0,0,0,7392138.2144
"4217",169174.7,433087.232,1.86725711185688,2805090,7181030.4,0,0,0,0,0,0,NA
"4401",27767410.2,71084570.112,306.481372059755,178607679,457235658.24,0,0,0,0,0,0,19071660.2230144
"4402",10506192.5,26895852.8,115.961563189782,77608272,198677176.32,0,0,0,0,0,0,3865985.2544
"4501",240882.6,616659.456,2.65872939613652,2648419,6779952.64,0,0,0,0,0,0,NA
